Afghanistan,59.63
Albania,105.03
Algeria,18.41
Andorra,164.39
Angola,26.36
Antigua and Barbuda,222.57
Argentina,16.51
Armenia,104.08
Australia,3.32
Austria,109.29
Azerbaijan,122.66
Bahamas,39.29
Bahrain,2238.91
Bangladesh,1265.19
Barbados,668.31
Belarus,46.57
Belgium,382.75
Belize,17.43
Benin,107.51
Bhutan,20.24
Bolivia,10.78
Bosnia and Herzegovina,64.33
Botswana,4.15
Brazil,25.43
Brunei,83.01
Bulgaria,64.01
Burkina Faso,76.40
Burundi,463.04
C̫te d'Ivoire,No density because there is no enough data
Cabo Verde,No density because there is no enough data
Cambodia,94.71
Cameroon,56.16
Canada,4.15
Central African Republic,7.75
Chad,13.04
Chile,25.71
China,153.31
Colombia,45.86
Comoros,467.28
Congo (Congo-Brazzaville),16.16
Costa Rica,99.77
Croatia,73.36
Cuba,106.41
Cyprus,130.67
Czechia (Czech Republic),138.65
Democratic Republic of the Congo,39.51
Denmark,136.51
Djibouti,42.62
Dominica,95.98
Dominican Republic,224.50
Ecuador,71.04
Egypt,102.80
El Salvador,313.04
Equatorial Guinea,50.02
Eritrea,35.11
Estonia,31.29
Eswatini (fmr. "Swaziland"),67.45
Ethiopia,114.96
Fiji,49.07
Finland,18.23
France,119.21
Gabon,8660.44
Gambia,238.80
Georgia,57.41
Germany,240.37
Ghana,136.56
Greece,80.86
Grenada,330.95
Guatemala,167.19
Guinea,53.45
Guinea-Bissau,69.99
Guyana,4013.02
Haiti,413.73
Holy See,Infinity
2 Honduras,88.52
Hungary,106.71
Iceland,3412.43
India,464.15
Indonesia,150.99
Iran,51.58
Iraq,92.61
Ireland,71.68
Israel,399.98
Italy,205.55
Jamaica,273.42
Japan,346.93
Jordan,114.93
Kazakhstan,6956.91
Kenya,94.48
Kiribati,147.47
Kuwait,239.65
Kyrgyzstan,34.02
Laos,31.52
Latvia,30.32
Lebanon,667.20
Lesotho,70.56
Liberia,52.51
Libya,3906.36
Liechtenstein,238.30
Lithuania,43.44
Luxembourg,241.69
Madagascar,47.60
Malawi,202.91
Malaysia,98.51
Maldives,1801.81
1 Mali,16.60
Malta,1379.82
1 Marshall Islands,328.83
Mauritania,4514.23
Mauritius,626.49
Mexico,66.33
Micronesia,784.16
Moldova,122.80
Monaco,39242.00
26 Mongolia,2110.94
Montenegro,46.70
Morocco,82.70
Mozambique,39.75
Myanmar (formerly Burma),83.29
Namibia,3087.37
Nauru,541.20
Nepal,203.26
Netherlands,508.15
New Zealand,18.31
Nicaragua,55.05
Niger,19.11
Nigeria,226.34
North Korea,214.09
North Macedonia,82.61
Norway,14.84
Oman,16.50
Pakistan,286.55
Palau,39.33
Palestine State,847.41
Panama,58.04
Papua New Guinea,19.76
Paraguay,17.95
Peru,25.76
Philippines,367.51
Poland,123.59
Portugal,111.33
Qatar,248.15
Romania,83.58
Russia,8.54
Rwanda,525.02
Saint Kitts and Nevis,204.61
Saint Lucia,301.03
Saint Vincent and the Grenadines,284.46
Samoa,70.11
San Marino,565.52
Sao Tome and Principe,228.29
Saudi Arabia,16.19
Senegal,86.97
Serbia,99.90
Seychelles,213.80
Sierra Leone,110.52
Singapore,8357.63
8 Slovakia,113.53
Slovenia,103.22
Solomon Islands,24.54
Somalia,25.33
South Africa,48.89
South Korea,527.30
South Sudan,18.32
Spain,93.73
Sri Lanka,341.46
Sudan,24.84
Suriname,3760.46
Sweden,24.61
Switzerland,219.02
Syria,95.30
Tajikistan,68.15
Tanzania,67.44
Thailand,136.62
Timor-Leste,88.66
Togo,152.21
Tonga,146.80
Trinidad and Tobago,272.80
Tunisia,76.07
Turkey,109.58
Turkmenistan,12.83
Tuvalu,393.07
Uganda,228.92
Ukraine,75.49
United Arab Emirates,118.31
United Kingdom,280.60
United States of America,36.19
Uruguay,19.85
Uzbekistan,78.68
Vanuatu,25.20
Venezuela,32.24
Vietnam,313.92
Yemen,56.49
Zambia,24.73
Zimbabwe,38.42